3 10000
0.1849780927 0.1308510713 0.9543670837
0.7669129303 0.9102206554 0.4077755672
0.6692628380 0.1443248798 0.5922222583
0.0211597540 0.5175940815 0.9468048396
0.5253023922 0.2175763275 0.5580322402
0.2510026756 0.4062926003 0.2576648306
0.0326074830 0.7040763749 0.0732797143
0.7493268651 0.9400720983 0.7761942733
0.2428681877 0.3542274247 0.3665279228
0.6863669616 0.6918786187 0.7910984377
0.0702804382 0.6113714760 0.4497292033
0.6195291092 0.2705304697 0.6028826635
0.3781546950 0.9441420308 0.6097040638
0.1253694636 0.7364157866 0.2688608863
0.9924778647 0.0559308306 0.2601807643
0.3602846739 0.1009720772 0.2474831427
0.4968326258 0.9830174254 0.3216023543
0.3311187864 0.9842547867 0.3120972025
0.0289905941 0.4085941857 0.5886713724
0.3717739574 0.1310972764 0.9580543134
0.6215146080 0.1122558099 0.4430315001
0.4316214085 0.1783624460 0.7904848668
0.2228441365 0.1563652385 0.1493257000
0.9005861016 0.3378704716 0.4501198912
0.2156069190 0.5655587633 0.8500167874
0.2472803378 0.7949685313 0.7227235787
0.4056224146 0.6656218348 0.4580325261
0.5357207291 0.0430124180 0.1996119628
0.9431156313 0.7081721578 0.7203891094
0.3521851395 0.3335862960 0.3493821630
0.4797036369 0.0717357137 0.4973933848
0.9567104500 0.0018076332 0.6544891332
0.6479361029 0.4022683634 0.0961175397
0.5586988322 0.9542846126 0.5627857603
0.0894822703 0.1398087871 0.2104986590
0.3349772158 0.6315685267 0.3126787606
0.7662135604 0.2184756926 0.6578064522
0.2991197962 0.5924300581 0.5523970719
0.3017604323 0.9774822770 0.3863208874
0.7028253979 0.8373722795 0.6371678164
0.0936525082 0.6887812476 0.7778362736
0.1471856999 0.0011936432 0.1106067180
0.9892383130 0.7561400074 0.8775886995
0.9760035609 0.9642497068 0.9670255605
0.6853875313 0.0059918351 0.4031292721
0.5155741681 0.2514414527 0.2658290350
0.0135733639 0.5643986438 0.6181603484
0.6824930581 0.7649189369 0.0283566847
0.1378182186 0.4416805812 0.3370646876
0.4637449165 0.5633375708 0.9513926292
0.8257242063 0.6670234121 0.4805058327
0.6553911886 0.2006455816 0.5882811106
0.8623294403 0.0569801388 0.0908418122
0.5655589056 0.4021812144 0.3531899865
0.1233877971 0.6975712187 0.2133549524
0.2855541511 0.6831312116 0.4793552279
0.5943233934 0.2403197425 0.6122515277
0.6863141971 0.4167538314 0.1159898656
0.0407696934 0.9928963845 0.8602763206
0.8351952197 0.0492169755 0.6516370822
0.9305020874 0.3859952651 0.8926977680
0.1361237991 0.4474866805 0.4908837406
0.7315237284 0.5347286757 0.0348555240
0.8109870251 0.4282805028 0.0158295716
0.4437468755 0.0895318217 0.7604681168
0.2564782578 0.2003019666 0.8245535783
0.3302840988 0.2161796046 0.5921052760
0.0005892029 0.0674537439 0.3124952743
0.6269535175 0.5482324696 0.7311864602
0.1359482873 0.9124893521 0.9478788031
0.6408020728 0.6881969352 0.3527817582
0.2726130577 0.0467447564 0.6776594722
0.3756672928 0.8500729621 0.6033375888
0.4283433630 0.7899397578 0.4247089446
0.1169515683 0.7650586141 0.7651342197
0.8717125386 0.7995736697 0.4233166013
0.3180330611 0.0138100559 0.0524624614
0.7105253489 0.8454554102 0.6473526647
0.8838275973 0.7612193827 0.2134127561
0.2912899260 0.4360495500 0.8652729059
0.3114116479 0.6899417881 0.8729757723
0.1526817319 0.9088908858 0.4356776878
0.3281520299 0.5965908449 0.8902679195
0.6565903821 0.3554177057 0.9053657480
0.0152257570 0.9967575149 0.7409900081
0.3191025941 0.8600240404 0.1300176080
0.0754540087 0.9411139915 0.3314406856
0.9990986863 0.0627304398 0.0272559635
0.9772262109 0.4606692288 0.0530344317
0.3177907873 0.8362627949 0.0232952402
0.9400256887 0.7180638120 0.6109681560
0.7208506809 0.4481259673 0.9364388564
0.7612022317 0.0186774475 0.9598902652
0.9486062900 0.7512905021 0.5843748983
